"","OBJECTID","POSTCODE","NAME","Positive","Death","Recovered","Active","Rate","Rate_Draft","Positive_Draft","Death_Draft","ZIPType","Shape__Area","Shape__Length"
"231",231,"29485","Summerville",37,NA,NA,NA,NA,NA,38,NA,"Standard",117914904.97229,82562.4242844625
"232",232,"29426","Adams Run",1,NA,NA,NA,NA,NA,1,NA,"Standard",174657763.162598,101714.697807726
"233",233,"29436","Cross",2,NA,NA,NA,NA,NA,2,NA,"Standard",192862549.116821,181199.003364585
"234",234,"29418","North Charleston",28,NA,NA,NA,NA,NA,29,NA,"Standard",35795753.5129395,48808.4569224246
"235",235,"29420","North Charleston",30,NA,NA,NA,NA,NA,30,NA,"Standard",27639224.8751221,33039.9127214778
"236",236,"29414","Charleston",40,NA,NA,NA,NA,NA,40,NA,"Standard",127822691.659912,80261.461359061
"237",237,"29432","Branchville",1,NA,NA,NA,NA,NA,1,NA,"Standard",319302980.402222,148812.278293919
"238",238,"29481","Smoaks",1,NA,NA,NA,NA,NA,1,NA,"Standard",240923449.753296,93107.1298685692
"239",239,"29410","Hanahan",50,NA,NA,NA,NA,NA,50,NA,"Standard",28126864.1513672,46051.4669605756
"240",240,"29438","Edisto Island",1,NA,NA,NA,NA,NA,1,NA,"Standard",227031137.565308,91233.2270446926
"241",241,"29445","Goose Creek",39,NA,NA,NA,NA,NA,38,NA,"Standard",166558695.618896,99376.5574661673
"242",242,"29456","Ladson",24,NA,NA,NA,NA,NA,25,NA,"Standard",46684525.1254883,43519.4669008115
"243",243,"29440","Georgetown",26,NA,NA,NA,NA,NA,26,NA,"Standard",1513511328.92676,399177.709406401
"244",244,"29450","Huger",2,NA,NA,NA,NA,NA,2,NA,"Standard",402829270.348145,160153.882369077
"245",245,"29471","Reevesville",2,NA,NA,NA,NA,NA,2,NA,"Standard",95580784.0505371,61549.4581222291
"246",246,"29466","Mount Pleasant",46,NA,NA,NA,NA,NA,45,NA,"Standard",88469493.0441895,100739.654504217
"247",247,"29472","Ridgeville",3,NA,NA,NA,NA,NA,3,NA,"Standard",511253573.562256,198311.635245752
"248",248,"29470","Ravenel",4,NA,NA,NA,NA,NA,4,NA,"Standard",200754391.541138,93636.5318886656
"249",249,"29501","Florence",159,NA,NA,NA,NA,NA,161,NA,"Standard",148872932.37793,87465.3727095496
