"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.PCR.Testing.Encounters"
"504","5/18/2020","23691","0",6
"505","5/18/2020","23692","12",273
"506","5/18/2020","23693","12",271
"507","5/18/2020","23696","0",47
"508","5/18/2020","23701","107",683
"509","5/18/2020","23702","14",203
"510","5/18/2020","23703","48",516
"511","5/18/2020","23704","33",457
"512","5/18/2020","23707","23",271
"513","5/18/2020","23708","Suppressed*",94
"514","5/18/2020","23709","0",92
"515","5/18/2020","23801","10",96
"516","5/18/2020","23803","77",763
"517","5/18/2020","23805","27",388
"518","5/18/2020","23821","Suppressed*",29
"519","5/18/2020","23824","10",140
"520","5/18/2020","23827","Suppressed*",17
"521","5/18/2020","23828","0",5
"522","5/18/2020","23829","78",460
"523","5/18/2020","23830","Suppressed*",32
"524","5/18/2020","23831","76",592
"525","5/18/2020","23832","146",813
"526","5/18/2020","23833","Suppressed*",26
"527","5/18/2020","23834","99",535
"528","5/18/2020","23836","22",210
"529","5/18/2020","23837","48",60
"530","5/18/2020","23838","27",241
"531","5/18/2020","23839","0",21
"532","5/18/2020","23840","Suppressed*",44
"533","5/18/2020","23841","7",67
"534","5/18/2020","23842","8",97
"535","5/18/2020","23843","0",4
"536","5/18/2020","23844","Suppressed*",6
"537","5/18/2020","23845","0",4
"538","5/18/2020","23846","0",16
"539","5/18/2020","23847","81",343
"540","5/18/2020","23850","0",25
"541","5/18/2020","23851","33",266
"542","5/18/2020","23856","Suppressed*",5
"543","5/18/2020","23857","Suppressed*",5
"544","5/18/2020","23860","61",664
"545","5/18/2020","23866","Suppressed*",44
"546","5/18/2020","23867","18",73
"547","5/18/2020","23868","12",73
"548","5/18/2020","23872","Suppressed*",52
"549","5/18/2020","23874","0",14
"550","5/18/2020","23875","22",226
"551","5/18/2020","23876","0",2
"552","5/18/2020","23878","Suppressed*",18
"553","5/18/2020","23879","5",14
"554","5/18/2020","23881","Suppressed*",28
"555","5/18/2020","23882","5",54
"556","5/18/2020","23883","Suppressed*",44
"557","5/18/2020","23884","Suppressed*",0
"558","5/18/2020","23885","Suppressed*",54
"559","5/18/2020","23887","0",4
"560","5/18/2020","23888","Suppressed*",45
"561","5/18/2020","23889","Suppressed*",8
"562","5/18/2020","23890","19",91
"563","5/18/2020","23891","64",107
"564","5/18/2020","23893","Suppressed*",5
"565","5/18/2020","23894","0",7
"566","5/18/2020","23897","Suppressed*",8
"567","5/18/2020","23898","5",35
"568","5/18/2020","23899","Suppressed*",14
"569","5/18/2020","23901","71",467
"570","5/18/2020","23915","Suppressed*",14
"571","5/18/2020","23917","10",49
"572","5/18/2020","23919","5",32
"573","5/18/2020","23920","Suppressed*",35
"574","5/18/2020","23921","7",73
"575","5/18/2020","23922","7",128
"576","5/18/2020","23923","6",55
"577","5/18/2020","23924","53",147
"578","5/18/2020","23927","61",162
"579","5/18/2020","23930","Suppressed*",129
"580","5/18/2020","23934","Suppressed*",20
"581","5/18/2020","23936","381",240
"582","5/18/2020","23937","Suppressed*",52
"583","5/18/2020","23938","0",4
"584","5/18/2020","23942","Suppressed*",32
"585","5/18/2020","23944","Suppressed*",60
"586","5/18/2020","23947","Suppressed*",99
"587","5/18/2020","23950","8",55
"588","5/18/2020","23952","0",7
"589","5/18/2020","23954","Suppressed*",54
"590","5/18/2020","23958","11",102
"591","5/18/2020","23959","0",25
"592","5/18/2020","23960","Suppressed*",63
"593","5/18/2020","23962","Suppressed*",21
"594","5/18/2020","23963","0",10
"595","5/18/2020","23964","0",26
"596","5/18/2020","23966","Suppressed*",59
"597","5/18/2020","23967","Suppressed*",19
"598","5/18/2020","23968","Suppressed*",13
"599","5/18/2020","23970","14",112
