"","Report.Date","ZIP.Code","Number.of.Cases","Number.of.Testing.Encounters"
"528","5/17/2020","23836","22","220"
"529","5/17/2020","23837","47","59"
"530","5/17/2020","23838","26","276"
"531","5/17/2020","23839","0","22"
"532","5/17/2020","23840","Suppressed*","48"
"533","5/17/2020","23841","7","66"
"534","5/17/2020","23842","7","106"
"535","5/17/2020","23843","0","4"
"536","5/17/2020","23844","Suppressed*","6"
"537","5/17/2020","23845","0","7"
"538","5/17/2020","23846","0","17"
"539","5/17/2020","23847","78","347"
"540","5/17/2020","23850","0","26"
"541","5/17/2020","23851","30","265"
"542","5/17/2020","23856","Suppressed*","5"
"543","5/17/2020","23857","Suppressed*","7"
"544","5/17/2020","23860","59","652"
"545","5/17/2020","23866","Suppressed*","44"
"546","5/17/2020","23867","18","69"
"547","5/17/2020","23868","12","77"
"548","5/17/2020","23872","Suppressed*","55"
"549","5/17/2020","23874","0","14"
"550","5/17/2020","23875","20","238"
"551","5/17/2020","23876","0","2"
"552","5/17/2020","23878","Suppressed*","19"
"553","5/17/2020","23879","5","14"
"554","5/17/2020","23881","Suppressed*","28"
"555","5/17/2020","23882","5","52"
"556","5/17/2020","23883","Suppressed*","50"
"557","5/17/2020","23884","Suppressed*","0"
"558","5/17/2020","23885","Suppressed*","52"
"559","5/17/2020","23887","0","4"
"560","5/17/2020","23888","Suppressed*","47"
"561","5/17/2020","23889","Suppressed*","9"
"562","5/17/2020","23890","18","87"
"563","5/17/2020","23891","55","107"
"564","5/17/2020","23893","Suppressed*","6"
"565","5/17/2020","23894","0","9"
"566","5/17/2020","23897","Suppressed*","8"
"567","5/17/2020","23898","5","34"
"568","5/17/2020","23899","Suppressed*","12"
"569","5/17/2020","23901","68","437"
"570","5/17/2020","23915","Suppressed*","14"
"571","5/17/2020","23917","10","54"
"572","5/17/2020","23919","5","31"
"573","5/17/2020","23920","Suppressed*","35"
"574","5/17/2020","23921","7","70"
"575","5/17/2020","23922","6","127"
"576","5/17/2020","23923","5","56"
"577","5/17/2020","23924","52","148"
"578","5/17/2020","23927","60","185"
"579","5/17/2020","23930","Suppressed*","162"
"580","5/17/2020","23934","Suppressed*","20"
"581","5/17/2020","23936","375","243"
"582","5/17/2020","23937","Suppressed*","50"
"583","5/17/2020","23938","0","5"
"584","5/17/2020","23942","Suppressed*","33"
"585","5/17/2020","23944","Suppressed*","63"
"586","5/17/2020","23947","Suppressed*","103"
"587","5/17/2020","23950","8","58"
"588","5/17/2020","23952","0","8"
"589","5/17/2020","23954","Suppressed*","53"
"590","5/17/2020","23958","9","102"
"591","5/17/2020","23959","0","26"
"592","5/17/2020","23960","Suppressed*","58"
"593","5/17/2020","23962","Suppressed*","22"
"594","5/17/2020","23963","0","9"
"595","5/17/2020","23964","0","29"
"596","5/17/2020","23966","Suppressed*","59"
"597","5/17/2020","23967","0","20"
"598","5/17/2020","23968","Suppressed*","14"
"599","5/17/2020","23970","14","120"
"600","5/17/2020","23974","Suppressed*","117"
"601","5/17/2020","23976","0","9"
"602","5/17/2020","24011","0","10"
"603","5/17/2020","24012","39","215"
"604","5/17/2020","24013","5","43"
"605","5/17/2020","24014","54","127"
"606","5/17/2020","24015","12","76"
"607","5/17/2020","24016","Suppressed*","72"
"608","5/17/2020","24017","14","182"
"609","5/17/2020","24018","34","311"
"610","5/17/2020","24019","10","184"
"611","5/17/2020","24053","Suppressed*","32"
"612","5/17/2020","24054","5","55"
"613","5/17/2020","24055","Suppressed*","120"
"614","5/17/2020","24058","0","4"
"615","5/17/2020","24059","0","5"
"616","5/17/2020","24060","33","534"
"617","5/17/2020","24064","0","28"
"618","5/17/2020","24065","Suppressed*","32"
"619","5/17/2020","24066","Suppressed*","16"
"620","5/17/2020","24067","Suppressed*","10"
"621","5/17/2020","24069","Suppressed*","24"
"622","5/17/2020","24070","0","9"
"623","5/17/2020","24072","0","11"
"624","5/17/2020","24073","19","425"
"625","5/17/2020","24076","0","10"
"626","5/17/2020","24077","Suppressed*","4"
"627","5/17/2020","24078","8","85"
"628","5/17/2020","24079","0","14"
"629","5/17/2020","24082","0","4"
"630","5/17/2020","24083","7","26"
"631","5/17/2020","24084","7","167"
"632","5/17/2020","24085","7","10"
"633","5/17/2020","24087","6","58"
"634","5/17/2020","24088","0","11"
