"","OBJECTID","PO_NAME","ZIP_CODE","Negative","Positive","Probable","Additional_Tracking","Positive_Redacted","Negative_Redacted"
"511",839,"Orbisonia","17243",11,0,0,NA,NA,NA
"512",840,"Orrstown","17244",8,-1,0,NA,NA,NA
"513",841,"Pleasant Hall","17246",-1,-1,0,NA,NA,NA
"514",842,"Saint Thomas","17252",35,-1,0,NA,NA,NA
"515",843,"Shade Gap","17255",5,-1,0,NA,NA,NA
"516",844,"Shippensburg","17257",167,113,-1,NA,NA,NA
"517",845,"Shirleysburg","17260",9,-1,0,NA,NA,NA
"518",846,"Spring Run","17262",9,-1,0,NA,NA,NA
"519",847,"Three Springs","17264",13,-1,0,NA,NA,NA
"520",848,"Upperstrasburg","17265",-1,0,0,NA,NA,NA
"521",849,"Walnut Bottom","17266",5,0,0,NA,NA,NA
"522",850,"Warfordsburg","17267",19,-1,0,NA,NA,NA
"523",851,"Waynesboro","17268",476,39,0,NA,NA,NA
"524",852,"Willow Hill","17271",-1,0,0,NA,NA,NA
"525",853,"Abbottstown","17301",65,9,0,NA,NA,NA
"526",854,"Airville","17302",39,5,0,NA,NA,NA
"527",855,"Aspers","17304",49,-1,0,NA,NA,NA
"528",856,"Biglerville","17307",107,-1,0,NA,NA,NA
"529",857,"Brogue","17309",25,-1,0,NA,NA,NA
"530",858,"Dallastown","17313",229,17,0,NA,NA,NA
"531",859,"Delta","17314",72,10,-1,NA,NA,NA
"532",860,"Dover","17315",414,27,0,NA,NA,NA
"533",861,"East Berlin","17316",108,11,0,NA,NA,NA
"534",862,"Etters","17319",150,21,0,NA,NA,NA
"535",863,"Fairfield","17320",134,10,0,NA,NA,NA
"536",864,"Fawn Grove","17321",34,-1,0,NA,NA,NA
"537",865,"Felton","17322",92,-1,0,NA,NA,NA
"538",866,"Gardners","17324",49,-1,0,NA,NA,NA
"539",867,"Gettysburg","17325",518,27,-1,NA,NA,NA
"540",868,"Glen Rock","17327",123,6,0,NA,NA,NA
"541",869,"Glenville","17329",31,-1,0,NA,NA,NA
"542",870,"Hanover","17331",827,52,0,NA,NA,NA
"543",871,"Lewisberry","17339",66,9,-1,NA,NA,NA
"544",872,"Littlestown","17340",178,18,-1,NA,NA,NA
"545",873,"Mc Sherrystown","17344",76,5,0,NA,NA,NA
"546",874,"Manchester","17345",190,-1,0,NA,NA,NA
"547",875,"Mount Wolf","17347",105,7,0,NA,NA,NA
"548",876,"New Freedom","17349",123,12,-1,NA,NA,NA
"549",877,"New Oxford","17350",203,36,-1,NA,NA,NA
"550",878,"New Park","17352",17,-1,0,NA,NA,NA
"551",879,"Orrtanna","17353",57,-1,0,NA,NA,NA
"552",880,"Red Lion","17356",462,22,0,NA,NA,NA
"553",881,"Seven Valleys","17360",103,6,0,NA,NA,NA
"554",882,"Shrewsbury","17361",97,-1,0,NA,NA,NA
"555",883,"Spring Grove","17362",183,16,0,NA,NA,NA
"556",884,"Stewartstown","17363",172,6,0,NA,NA,NA
"557",885,"Thomasville","17364",69,-1,0,NA,NA,NA
"558",886,"Wellsville","17365",34,-1,0,NA,NA,NA
"559",887,"Windsor","17366",117,-1,0,NA,NA,NA
"560",888,"Wrightsville","17368",140,10,0,NA,NA,NA
"561",889,"York Haven","17370",113,-1,0,NA,NA,NA
"562",890,"York Springs","17372",54,-1,0,NA,NA,NA
"563",891,"York","17401",519,115,6,NA,NA,NA
"564",892,"York","17402",706,45,0,NA,NA,NA
"565",893,"York","17403",922,160,-1,NA,NA,NA
"566",894,"York","17404",824,81,-1,NA,NA,NA
"567",895,"York","17406",423,19,-1,NA,NA,NA
"568",896,"York","17407",38,-1,0,NA,NA,NA
"569",897,"York","17408",429,27,0,NA,NA,NA
"570",898,"Akron","17501",105,13,0,NA,NA,NA
"571",899,"Bainbridge","17502",27,-1,0,NA,NA,NA
"572",900,"Bird in Hand","17505",12,-1,0,NA,NA,NA
"573",901,"Christiana","17509",39,26,-1,NA,NA,NA
"574",902,"Columbia","17512",332,51,-1,NA,NA,NA
"575",903,"Conestoga","17516",70,14,0,NA,NA,NA
"576",904,"Denver","17517",228,36,-1,NA,NA,NA
"577",905,"Drumore","17518",12,-1,0,NA,NA,NA
"578",906,"East Earl","17519",82,14,0,NA,NA,NA
"579",907,"East Petersburg","17520",62,12,0,NA,NA,NA
"580",908,"Ephrata","17522",630,72,-1,NA,NA,NA
"581",909,"Gap","17527",72,14,0,NA,NA,NA
"582",910,"Gordonville","17529",25,7,0,NA,NA,NA
"583",911,"Holtwood","17532",39,-1,0,NA,NA,NA
"584",912,"Kinzers","17535",24,7,0,NA,NA,NA
"585",913,"Kirkwood","17536",25,0,0,NA,NA,NA
"586",914,"Landisville","17538",105,12,0,NA,NA,NA
"587",915,"Leola","17540",151,19,-1,NA,NA,NA
"588",916,"Lititz","17543",648,134,-1,NA,NA,NA
"589",917,"Manheim","17545",293,54,0,NA,NA,NA
"590",918,"Marietta","17547",116,12,0,NA,NA,NA
"591",919,"Maytown","17550",17,-1,0,NA,NA,NA
"592",920,"Millersville","17551",111,26,0,NA,NA,NA
"593",921,"Mount Joy","17552",247,32,0,NA,NA,NA
"594",922,"Mountville","17554",121,25,0,NA,NA,NA
"595",923,"Narvon","17555",66,9,0,NA,NA,NA
"596",924,"New Holland","17557",160,45,0,NA,NA,NA
"597",925,"New Providence","17560",65,-1,0,NA,NA,NA
